index,Agrawal_bias,Agrawal_weighted_mae_0,Agrawal_weighted_mae_0.5,Agrawal_weighted_mae_1,Agrawal_weighted_mae_1.5,Agrawal_censored_fraction,Agrawal_accuracy,Agrawal_overestimation_rate,Agrawal_underestimation_rate,Agrawal_gini_coefficient,Agrawal_overstock,POS,Magazine
1896,-1.255813953488372,1.627906976744186,1.7993646831726915,1.9664804469273744,2.1230997459323158,0.3282442748091603,0.1627906976744186,0.0232558139534883,0.813953488372093,0.4039867109634552,8.0,EHI0954390,A
1897,-1.2926829268292683,1.7317073170731707,1.893728798782931,2.052910052910053,2.2058098832545667,0.3106060606060606,0.2195121951219512,0.024390243902439,0.7560975609756098,0.4692545517004465,9.0,EHI0981105,A
1898,-1.4523809523809523,1.4523809523809523,1.5293370174927143,1.6055555555555556,1.6793977293807427,0.3181818181818182,0.1666666666666666,0.0,0.8333333333333334,0.3992974238875879,0.0,EHI1136817,A
1899,-0.25,0.625,0.626684821496998,0.6285714285714286,0.6306527294079334,0.1860465116279069,0.5,0.0625,0.4375,0.5874999999999999,3.0,EHI1300994,A
1900,-0.7777777777777778,1.0,1.053629819815389,1.1130434782608696,1.1775340855546526,0.3409090909090909,0.2444444444444444,0.0888888888888888,0.6666666666666666,0.3792592592592594,5.0,EHI1320417,A
1901,-0.6666666666666666,0.6666666666666666,0.7111547646888196,0.7692307692307693,0.8429631327074252,0.0909090909090909,0.4166666666666667,0.0,0.5833333333333334,0.4791666666666667,0.0,EHI1322276,A
1902,-1.1428571428571428,1.1428571428571428,1.2001692684484535,1.2580645161290325,1.3147921348080367,0.3218390804597701,0.1071428571428571,0.0,0.8928571428571429,0.2611607142857142,0.0,EHI1352910,A
1903,-0.6428571428571429,1.0714285714285714,1.1289554514694673,1.2058823529411764,1.304236434748458,0.2153846153846154,0.2142857142857142,0.1071428571428571,0.6785714285714286,0.388095238095238,6.0,EHI1363260,A
1904,-2.555555555555556,2.555555555555556,2.605299963766337,2.6548672566371683,2.704157781588492,0.3,0.0555555555555555,0.0,0.9444444444444444,0.2222222222222221,0.0,EHI1385096,A
1905,-2.1,2.1,2.313865343380711,2.6008771929824563,2.984472090449547,0.303030303030303,0.125,0.0,0.875,0.418452380952381,0.0,EHI1409389,A
1906,-0.2,0.6,0.6000000000000001,0.6,0.6000000000000001,0.1145038167938931,0.4666666666666667,0.1333333333333333,0.4,0.5185185185185186,3.0,EHI1416686,A
1907,-0.9777777777777776,1.1111111111111112,1.2746647336443109,1.5040650406504066,1.8034708662445451,0.3409090909090909,0.1555555555555555,0.0666666666666666,0.7777777777777778,0.3306666666666666,3.0,EHI1476314,A
1908,-1.7073170731707317,1.7560975609756098,1.8163368810447436,1.868421052631579,1.914213150758556,0.3106060606060606,0.1951219512195122,0.024390243902439,0.7804878048780488,0.3665311653116532,1.0,EHI1500268,A
1909,-0.7209302325581395,0.9069767441860463,0.955666010606239,1.0081967213114753,1.0618496023416306,0.3412698412698413,0.2093023255813953,0.0930232558139534,0.6976744186046512,0.2957662492546213,4.0,EHI1502040,A
1910,0.2,1.0,1.0,1.0,1.0,0.0735294117647058,0.2,0.4,0.4,0.32,3.0,EHI1584480,A
1911,-2.375,2.475,2.770633643720106,3.076923076923077,3.3888893467169754,0.303030303030303,0.275,0.025,0.7,0.4583333333333335,2.0,EHI1591770,A
1912,-0.6486486486486487,0.8108108108108109,0.8195781379837974,0.8292682926829268,0.8398057107150295,0.2824427480916031,0.2432432432432432,0.054054054054054,0.7027027027027027,0.2900900900900902,3.0,EHI1648275,A
1913,-0.5333333333333333,1.1111111111111112,1.247417335647546,1.4227642276422765,1.6451406260714223,0.3409090909090909,0.2444444444444444,0.0888888888888888,0.6666666666666666,0.4542222222222223,13.0,EHI1648830,A
1914,-0.7,0.85,0.8646265799207208,0.8804347826086957,0.897152912118948,0.3149606299212598,0.25,0.05,0.7,0.3264705882352943,3.0,EHI1652145,A
1915,-0.3076923076923077,0.7692307692307693,0.7602329208718163,0.75,0.7385132916315192,0.1382978723404255,0.3076923076923077,0.1538461538461538,0.5384615384615384,0.3692307692307692,3.0,EHI1662884,A
1916,-1.5476190476190477,1.5952380952380951,1.8012783878798566,2.0338983050847457,2.2806323829889634,0.3181818181818182,0.0714285714285714,0.0238095238095238,0.9047619047619048,0.3507462686567164,1.0,EHI1674092,A
1917,-0.6666666666666666,0.6666666666666666,0.672794807410597,0.68,0.6884035641092414,0.1714285714285714,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333335,0.0,EHI1697967,A
1918,-0.8913043478260869,0.8913043478260869,0.9571238629922838,1.0347826086956522,1.123376758926755,0.3484848484848485,0.2391304347826087,0.0,0.7608695652173914,0.3366914103923646,0.0,EHI1766715,A
1919,-0.4358974358974359,0.6923076923076923,0.6923076923076924,0.6923076923076923,0.6923076923076924,0.3421052631578947,0.3333333333333333,0.1025641025641025,0.5641025641025641,0.3570750237416904,5.0,EHI1802792,A
1920,-1.2093023255813953,1.2093023255813953,1.324528572325506,1.443661971830986,1.5625155626593903,0.3257575757575757,0.2093023255813953,0.0,0.7906976744186046,0.4159212880143113,0.0,EHI1821782,A
1921,-1.7317073170731707,1.7317073170731707,1.816480202081255,1.9049773755656108,1.9962551245826787,0.3106060606060606,0.2195121951219512,0.0,0.7804878048780488,0.4342150463758158,0.0,EHI1877790,A
1922,-7.117647058823529,7.117647058823529,7.380982079627498,7.571923743500866,7.721690566707656,0.2575757575757575,0.0,0.0,1.0,0.2250850753524551,0.0,EHI1892606,A
1923,-0.6428571428571429,0.7857142857142857,0.7886151939774075,0.7878787878787878,0.7823687075157256,0.1686746987951807,0.2857142857142857,0.0714285714285714,0.6428571428571429,0.3441558441558441,1.0,EHI1905884,A
1924,-2.05,2.05,2.129880771238549,2.2015810276679844,2.2698448820762502,0.303030303030303,0.125,0.0,0.875,0.3225609756097563,0.0,EHI2021368,A
1925,-0.9302325581395348,0.9767441860465116,1.0250342219496886,1.0680272108843538,1.1052759647360184,0.3257575757575757,0.2790697674418604,0.0232558139534883,0.6976744186046512,0.4119601328903655,1.0,EHI2042127,A
1926,-1.761904761904762,1.761904761904762,1.9812511107291229,2.21264367816092,2.4489931336375217,0.3181818181818182,0.119047619047619,0.0,0.8809523809523809,0.3790218790218791,0.0,EHI2073931,A
