index,Bayesian_bias,Bayesian_weighted_mae_0,Bayesian_weighted_mae_0.5,Bayesian_weighted_mae_1,Bayesian_weighted_mae_1.5,Bayesian_censored_fraction,Bayesian_accuracy,Bayesian_overestimation_rate,Bayesian_underestimation_rate,Bayesian_gini_coefficient,Bayesian_overstock,POS,Magazine
5843,-1.3333333333333333,1.3333333333333333,1.4006803429557622,1.4666666666666666,1.530039406547434,0.1818181818181818,0.1666666666666666,0.0,0.8333333333333334,0.2916666666666665,0.0,EHE5828132,D
5844,-1.3333333333333333,1.3333333333333333,1.379795897113271,1.4285714285714286,1.4787753826796275,0.09375,0.0,0.0,1.0,0.1666666666666667,0.0,EHE5873911,D
5845,-1.3333333333333333,1.3333333333333333,1.379795897113271,1.4285714285714286,1.4787753826796275,0.0566037735849056,0.0,0.0,1.0,0.1666666666666667,0.0,EHE5896262,D
5846,-0.5384615384615384,1.3076923076923077,1.3194575708247318,1.3333333333333333,1.349575507653593,0.2241379310344827,0.0,0.2307692307692307,0.7692307692307693,0.1900452488687782,5.0,EHE6044666,D
5847,-0.25,1.25,1.25,1.25,1.25,0.0888888888888888,0.0,0.25,0.75,0.1499999999999999,2.0,EHE6140876,D
5848,-0.4117647058823529,2.0588235294117645,2.0811861676558068,2.108695652173913,2.140757921699406,0.288135593220339,0.0,0.2352941176470588,0.7647058823529411,0.3193277310924369,14.0,EHE6195409,D
5849,-1.7894736842105263,1.7894736842105263,1.877396693996521,1.962962962962963,2.0452051628613725,0.3333333333333333,0.0526315789473684,0.0,0.9473684210526316,0.2229102167182663,0.0,EHE6309691,D
5850,1.0,2.2,2.19139690542127,2.1818181818181817,2.171317441022781,0.1428571428571428,0.0,0.6,0.4,0.2181818181818182,8.0,EHE6512101,D
5851,-1.25,1.95,2.0173385187137103,2.087719298245614,2.1596610400568568,0.3389830508474576,0.0,0.15,0.85,0.2474358974358974,7.0,EHE6597362,D
5852,-1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.25,0.0,0.75,0.375,0.0,EHE6696439,D
5853,-1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0769230769230769,0.0,0.0,1.0,0.1666666666666667,0.0,EHE6743007,D
