EHASTRA_EH_NUMMER,Heftjahr,Heftnummer,Period,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,Magazine,N1_Demand,N2_Demand,N3_Demand,EM_Demand,PD_Demand,Nahmias_Demand,Conrad_Demand,Bayesian_Demand,Bayesian_Q,Baseline_Demand
EHC0005070,2022,10,2022-010,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHE0003391,2022,10,2022-010,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,10,2022-010,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,11,2022-011,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,11,2022-011,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,11,2022-011,7.0,1.0,6.0,7.0,1.0,6.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHB0023505,2022,11,2022-011,10.0,4.0,6.0,10.0,4.0,6.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0
EHC0004006,2022,11,2022-011,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,A,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHC0005070,2022,11,2022-011,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHE0003391,2022,11,2022-011,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,1.0,0.0085,A,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
EHH0010681,2022,11,2022-011,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,12,2022-012,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,12,2022-012,2.0,1.0,1.0,2.0,1.0,1.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EHB0019844,2022,12,2022-012,5.0,1.0,4.0,5.0,1.0,4.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHB0023505,2022,12,2022-012,13.0,7.0,6.0,13.0,7.0,6.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
EHC0004006,2022,12,2022-012,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHC0005070,2022,12,2022-012,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHE0003391,2022,12,2022-012,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,X,132,0.35,0.4,1,1.0,0.0085,A,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0
EHH0010681,2022,12,2022-012,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,13,2022-013,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,13,2022-013,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,13,2022-013,4.0,4.0,0.0,5.0,4.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0
EHB0023505,2022,13,2022-013,11.0,4.0,7.0,11.0,4.0,7.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,4.0
EHC0004006,2022,13,2022-013,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,0.0,0.0085,A,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
EHC0005070,2022,13,2022-013,6.0,3.0,3.0,6.0,3.0,3.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
EHE0003391,2022,13,2022-013,2.0,2.0,0.0,3.0,2.0,1.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0
EHH0010681,2022,13,2022-013,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,14,2022-014,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,14,2022-014,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,14,2022-014,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHB0023505,2022,14,2022-014,11.0,6.0,5.0,11.0,6.0,5.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0
EHC0004006,2022,14,2022-014,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHC0005070,2022,14,2022-014,4.0,3.0,1.0,4.0,3.0,1.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
EHE0003391,2022,14,2022-014,2.0,1.0,1.0,2.0,1.0,1.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,14,2022-014,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,15,2022-015,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,15,2022-015,2.0,0.0,2.0,2.0,0.0,2.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EHB0019844,2022,15,2022-015,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
EHB0023505,2022,15,2022-015,11.0,2.0,9.0,11.0,2.0,9.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0
EHC0004006,2022,15,2022-015,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0
EHC0005070,2022,15,2022-015,3.0,2.0,1.0,2.0,2.0,0.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,1,0.0,0.0085,A,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0
EHE0003391,2022,15,2022-015,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
EHH0010681,2022,15,2022-015,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,16,2022-016,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,16,2022-016,1.0,1.0,0.0,2.0,1.0,1.0,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EHB0019844,2022,16,2022-016,7.0,2.0,5.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHB0023505,2022,16,2022-016,8.0,7.0,1.0,8.0,7.0,1.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0
EHC0004006,2022,16,2022-016,3.0,3.0,0.0,4.0,3.0,1.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
EHC0005070,2022,16,2022-016,,,,,,,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHE0003391,2022,16,2022-016,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,X,132,0.35,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
EHH0010681,2022,16,2022-016,,,,,,,Klasse 1-2,S,Y,85,0.35,0.4,0,,0.0085,A,,,,,,,,,,
EHA0017186,2022,17,2022-017,,,,,,,Klasse 0-1,I,Z,36,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHA0021360,2022,17,2022-017,,,,,,,Klasse 0-1,I,Z,10,0.3159999999999999,0.4,0,,0.0085,A,,,,,,,,,,
EHB0019844,2022,17,2022-017,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 1-2,S,Y,132,0.35,0.4,0,0.0,0.0085,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
EHB0023505,2022,17,2022-017,8.0,8.0,0.0,9.0,8.0,1.0,Klasse 5-6,S,X,129,0.3159999999999999,0.4,0,0.0,0.0085,A,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
EHC0004006,2022,17,2022-017,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,132,0.35,0.4,1,1.0,0.0085,A,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0
EHC0005070,2022,17,2022-017,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 2-3,S,Y,131,0.3414999999999999,0.4,0,0.0,0.0085,A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
