EHASTRA_EH_NUMMER,Heftjahr,Heftnummer,Period,Bezug_MBR,Verkauf_MBR,Remission_MBR,Bezug,Verkauf,Remission,Klasse,SBC,XYZ,Laenge,Zensierungsquote,Zensierungsgrad,Zensiert,Entgangener Verkauf,Steigung,Verkauf_Uncensored,original_filename,magazine,date,zq_parameter,zg_parameter,uncensoring_method
EHA0483721,2022,2,2022-002,6.0,2.0,4.0,2.0,2.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,0.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,3,2022-003,4.0,3.0,1.0,2.0,2.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,1.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,4,2022-004,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,5,2022-005,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,6,2022-006,4.0,1.0,3.0,4.0,1.0,3.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,7,2022-007,4.0,2.0,2.0,2.0,2.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,0.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,8,2022-008,3.0,1.0,2.0,3.0,1.0,2.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,9,2022-009,4.0,0.0,4.0,4.0,0.0,4.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,0.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,10,2022-010,4.0,3.0,1.0,3.0,3.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,0.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,11,2022-011,3.0,2.0,1.0,1.0,1.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,1.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2022,12,2022-012,5.0,4.0,1.0,4.0,4.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,0.0,0.0085,5.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2023,1,2023-001,7.0,3.0,4.0,7.0,3.0,4.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2023,3,2023-003,7.0,0.0,7.0,7.0,0.0,7.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,0.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2023,4,2023-004,6.0,1.0,5.0,6.0,1.0,5.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,1.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2023,5,2023-005,6.0,2.0,4.0,1.0,1.0,0.0,Klasse 1-2,S,Y,28,0.35,0.4,1,1.0,0.0085,3.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
EHA0483721,2023,6,2023-006,5.0,2.0,3.0,5.0,2.0,3.0,Klasse 1-2,S,Y,28,0.35,0.4,0,0.0,0.0085,2.0,H_20250212_ZQ0.35_ZG0.4_testfile.csv,H,20250212,ZQ0.35,ZG0.4,Conrad
